lat0,lon0,tmin_C__delta_after_minus_before,tmax_C__delta_after_minus_before,vpd__delta_after_minus_before,duration__delta_after_minus_before,intensity__delta_after_minus_before,frequency__delta_after_minus_before
-15.25,39.25,0.895578244,0.927991978,0.147231931,0.454310345,0.030332393,0.03
-15.25,39.5,0.794121717,0.903675945,0.140685702,0.429032258,0.050697036,0.056666667
-15.25,39.75,0.7706269,0.890544327,0.137169553,0.191919192,0.059464573,0.116666667
-15.25,40,0.797746128,0.877637402,0.126237713,0.332068311,0.061318358,0.14
-15.25,40.25,0.865313585,0.866572297,0.12100757,0.198660714,0.000438946,0.203333333
-15.25,40.5,0.637036285,0.686515134,0.082498252,0.121505376,0.021655393,0.146666667
-15.25,49.5,0.199784385,0.60760499,0.016237255,0.859649123,0.069344446,0.113333333
-15.25,49.75,0.318702371,0.553931014,0.017612309,0.117647059,0.026051696,0.123333333
-15.25,50.25,0.475736035,0.830822995,0.023348502,0.486842105,0.014984828,0.2
-15,39.25,0.793918501,0.814272949,0.132278812,0.032986111,0.005066525,0.146666667
-15,39.5,0.775123355,0.78271271,0.125971995,0.264136905,0.086108129,0.08
-15,39.75,0.769960141,0.760398303,0.12106631,0.314236111,0.053284011,0.093333333
-15,40,0.755256768,0.694815803,0.112391064,0.405017921,0.049080938,0.11
-15,40.25,0.767277246,0.760924015,0.107007784,0.59375,0.012399211,0.13
-15,40.5,0.760673028,0.587639529,0.08626159,0.303571429,0.059064028,0.13
-15,49.25,0.469864123,0.969775572,0.055253271,0.625,0.066204165,0.126666667
-15,49.5,0.440624045,0.806979529,0.023044812,1.08496732,0.076866747,0.086666667
-15,49.75,0.457663525,0.763804782,0.025684092,0.801470588,0.019068304,0.09
-14.75,39.5,0.750473075,0.826825331,0.124821566,0.15085389,0.022165745,0.193333333
-14.75,39.75,0.722418622,0.767726231,0.114824315,0.411764706,0.030553569,0.096666667
-14.75,40.25,0.800120317,0.658675844,0.095133605,0.654166667,0.0166885,0.103333333
-14.75,40.5,0.769571514,0.640340902,0.080487307,0.338624339,0.03437068,0.11
-14.75,49.5,0.496780422,0.846835889,0.026895289,1.227777778,0.045715793,0.096666667
-14.75,49.75,0.550481613,0.767519435,0.028342955,1.375,0.075204279,0.076666667
-14.5,34.5,0.420931381,0.457973441,0.100616302,0.506410256,0.025609901,0.02
-14.5,39.75,0.772184601,0.802356746,0.112257328,0.382183908,0.003022632,0.213333333
-14.5,40,0.808860779,0.677653015,0.092761652,0.722527473,0.065298745,0.156666667
-14.5,49.75,0.744840624,0.980048532,0.044301754,1.166666667,0.02592783,0.116666667
-14.5,50,0.713946441,0.797839303,0.052394178,0.29375,0.005532398,0.153333333
-14.25,31.75,0.446837988,0.515949954,0.102495768,0.25,0.171765776,0.076666667
-14.25,33.5,0.5152708,0.54777161,0.090780075,0.796568627,0.029880461,0.036666667
-14.25,49.75,0.553730582,0.925159141,0.067281275,0.275735294,0.068785275,0.1
-14.25,50,0.548941228,0.880715985,0.076774934,0.066666667,0.049980174,0.06
-14,32,0.422877072,0.469268016,0.094023614,0.303977273,0.096868196,0.106666667
